"Episode","Step","Total Reward","Number of Episodes Solved"
0,999,-35.86490697447202,0
1,999,-58.80003505831836,0
2,999,-66.25283759906074,0
3,999,-67.74383702727887,0
4,999,-68.55155883818246,0
5,999,-67.68534792189698,0
6,999,-72.3718842998014,0
7,999,-69.90917659823943,0
8,999,-72.77034037421241,0
9,999,-72.44570195532886,0
10,999,-71.0824878124138,0
11,999,-74.98093174603584,0
12,999,-72.1707998644974,0
13,999,-77.22973211791519,0
14,999,-75.79108808782013,0
15,999,-79.28110319477165,0
16,999,-77.361475838587,0
17,999,-81.84999068215078,0
18,999,-82.11768742728353,0
19,999,-82.95423382115054,0
20,999,-82.47954839621283,0
21,999,-83.845216211688,0
22,999,-81.83855307944066,0
23,999,-82.93531285451499,0
24,999,-84.12612137720082,0
25,999,-85.56485262712384,0
26,999,-84.69471075293897,0
27,999,-85.53009986100994,0
28,999,-87.20124789399638,0
29,999,-86.61950348242158,0
30,999,-87.14171806605125,0
31,999,-86.5719739845287,0
32,999,-88.39787858071064,0
33,999,-88.93427115146206,0
34,999,-88.8120415281936,0
35,999,-88.82169538403181,0
36,999,-90.20999072396035,0
37,905,20.789297281528633,1
38,999,-91.97661965817815,1
39,999,-93.70652568792028,1
40,999,-95.68403124910228,1
41,999,-95.09965119002065,1
42,999,-95.43872207818218,1
43,999,-96.66609544431793,1
44,999,-96.56272025190827,1
45,999,-97.02575288432894,1
46,999,-96.08099502876209,1
47,999,-96.85509772979822,1
48,999,-96.3326103036545,1
49,999,-96.93414931087284,1
50,999,-96.05281425107268,1
51,999,-97.22776575424648,1
52,999,-97.05416088634595,1
53,999,-96.6945610318276,1
54,999,-97.23630013362762,1
55,999,-97.95750912484816,1
56,999,-97.65133002187211,1
57,999,-97.36308522335426,1
58,999,-97.79451628374221,1
59,999,-98.35640275961224,1
60,999,-97.38963529081589,1
61,999,-97.59070428809417,1
62,999,-97.86294289086682,1
63,999,-97.50524127596411,1
64,999,-98.034556751725,1
65,999,-97.43263529922436,1
66,999,-96.94963027897079,1
67,999,-97.93681448146747,1
68,999,-98.0050982521597,1
69,999,-98.26684775740307,1
70,999,-96.79861543454678,1
71,999,-97.66186681404082,1
